                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.70673,                0.42803,                0.98507,                0.96836,                      1,                0.97077,                0.86254,                0.51498,                0.31644,                0.86426,             0.00070981,             0.00070981,             0.00070981
                     61,                0.71072,                0.39981,                0.98676,                0.96841,                      1,                0.96612,                0.85727,                0.50107,                0.31181,                0.86489,             0.00069331,             0.00069331,             0.00069331
                     62,                0.67017,                0.38628,                0.97189,                0.96841,                      1,                0.97415,                0.86081,                0.49793,                   0.31,                0.86359,              0.0006768,              0.0006768,              0.0006768
                     63,                0.67747,                0.39796,                0.97875,                0.96841,                      1,                0.96827,                0.85669,                0.50383,                0.30924,                0.86743,              0.0006603,              0.0006603,              0.0006603
                     64,                0.70935,                0.41572,                 0.9988,                 0.9684,                      1,                0.97265,                0.86676,                0.49921,                0.30062,                0.86094,              0.0006438,              0.0006438,              0.0006438
                     65,                0.70815,                0.41452,                0.98828,                 0.9684,                      1,                0.97145,                0.86211,                0.48746,                0.29998,                0.86128,             0.00062729,             0.00062729,             0.00062729
                     66,                0.68127,                0.40189,                0.97187,                0.96839,                      1,                0.96406,                0.85644,                0.49734,                 0.3054,                0.85864,             0.00061079,             0.00061079,             0.00061079
                     67,                0.67618,                 0.3969,                0.96915,                0.96838,                      1,                0.96391,                0.85974,                0.49238,                0.29023,                0.85932,             0.00059429,             0.00059429,             0.00059429
                     68,                0.69629,                0.38533,                0.98156,                0.96838,                      1,                  0.965,                0.85418,                0.50022,                 0.2944,                0.86618,             0.00057778,             0.00057778,             0.00057778
                     69,                0.69141,                  0.397,                 0.9805,                0.96838,                      1,                0.96469,                0.85889,                0.48743,                0.30753,                0.85736,             0.00056128,             0.00056128,             0.00056128
                     70,                  0.662,                0.38327,                0.95792,                0.96839,                      1,                0.96438,                  0.851,                0.48606,                0.29824,                0.86142,             0.00054478,             0.00054478,             0.00054478
                     71,                0.68257,                0.39244,                 0.9791,                0.96839,                      1,                0.96438,                0.84941,                0.50807,                0.30166,                0.87082,             0.00052827,             0.00052827,             0.00052827
                     72,                0.66579,                0.37372,                0.96476,                 0.9684,                      1,                0.96438,                0.85881,                0.48254,                0.27899,                0.85708,             0.00051177,             0.00051177,             0.00051177
                     73,                0.67858,                0.38776,                0.98683,                0.96837,                      1,                  0.965,                0.86342,                0.48885,                0.29527,                 0.8589,             0.00049527,             0.00049527,             0.00049527
                     74,                  0.671,                  0.373,                0.97071,                0.96838,                      1,                0.96469,                0.86329,                 0.4855,                0.29156,                0.86246,             0.00047876,             0.00047876,             0.00047876
                     75,                  0.668,                0.37052,                0.96589,                0.96839,                      1,                 0.9715,                0.86366,                0.48595,                0.28074,                 0.8587,             0.00046226,             0.00046226,             0.00046226
                     76,                0.66344,                0.38053,                0.96529,                0.96839,                      1,                0.96438,                0.85386,                0.49774,                0.28708,                0.86731,             0.00044576,             0.00044576,             0.00044576
